docId,filename,0 don witch amy,1 day wind moon,2 house chimney star,3 paul wife murphy,4 back made tree,5 door cellar toffile,6 grapes laban eliza,7 hampshire mountains state,8 books show window,9 axe baptiste wall
0,11_1_Two Witches_The Witch of Coös.txt,6.370600157317836E-4,0.023687931850076557,0.0028066061478806787,2.0002458770370418E-4,0.16239365075343162,0.8062418494448621,5.212769485582852E-4,6.10861912725216E-5,0.00293875811912254,5.117559413601293E-4
1,15_Fragmentary Blue.txt,0.009699447222345788,0.6614033909620379,0.012656809436578534,0.033120127455912834,0.09659615306865536,0.06497282139231199,0.007936612133722857,9.300572530538468E-4,0.10489292939207343,0.00779165168330751
2,14_I Will Sing You One-O.txt,0.07384135556686916,0.24548033913320927,0.1459070511442192,0.024564348281205746,0.12841033260715812,0.16760625378253155,0.002090262077862436,2.4494877329824286E-4,0.20980302472641726,0.002052083907228951
3,17_In a Disused Graveyard.txt,0.007633319834618647,0.1181529762404929,0.03362904882983597,0.002396715560583763,0.07601972713126427,0.0037959799054657255,0.597954224560835,7.319411420385961E-4,0.12988582432123413,0.029800242473630976
4,05_Maple.txt,0.007428748744930737,0.026812775339535553,0.003176845517201229,2.264112530560709E-4,0.9127140763719385,0.04060449366245269,5.900422966358188E-4,6.914450502916004E-5,0.007798197003527525,5.792653056926677E-4
5,42_Our Singing Strength.txt,0.017556154685539966,0.5442099211337424,0.023359751616797684,5.350713986540104E-4,0.33401157603272946,8.474598782950067E-4,0.006678430908343024,1.6340727996425836E-4,0.03956526308062996,0.03307296398530422
6,24_for_once.txt,0.006292848868068155,0.48764407538964843,0.008211538978513566,0.040999802522928966,0.35534983338589454,0.003129375994830544,0.005149149176968773,6.034065238929167E-4,0.06805288351614172,0.024567085643112448
7,08_Paul’s Wife.txt,7.02257151661829E-4,0.002160103227280915,0.00309383604460444,0.7470894922346645,0.22256233513744378,3.4922603715465534E-4,5.746247701655081E-4,6.733779177717504E-5,0.022836658228342643,5.641293769045635E-4
8,36_Gathering Leaves.txt,0.1428798407225012,0.4291930213711459,0.009510523256975175,0.0022883907876622535,0.18557678802870683,0.0036244123368995036,0.005963693666843038,6.988594700591606E-4,0.14661393953640325,0.07365053082280369
9,22_The Aim was Song.txt,0.006825570578110654,0.50776185683923,0.008906687579477395,0.0021430978353912757,0.1737942727559545,0.0033942936126349988,0.005585050882591783,6.544879596620418E-4,0.010322586528513844,0.2806120954284335
10,37_The Valley’s Singing Day.txt,0.004526448864072935,0.5753222507355369,0.07608145727284338,0.0014212178530119569,0.07314856223815652,0.07242585527972138,0.0037037851904089237,4.3403056896991254E-4,0.1752652768578187,0.017671115139459355
11,10_Place for a Third.txt,0.0013536673098674356,0.012558328039431736,0.0017664005781738185,4.2502549031144183E-4,0.256922280821877,6.731663310684982E-4,0.7020504025491457,0.016918848098769763,0.0020472058382546305,0.005284674943099991
12,29_Two Look at Two.txt,0.010818045001189033,0.0980938596464333,0.052522019325101955,8.283198362874144E-4,0.3452898529706567,0.0013119143153891145,0.002158654801627699,2.529634208231879E-4,0.04488935045409218,0.4438350202283994
13,39_A Hillside Thaw.txt,0.027402035695100465,0.667972446316227,0.019965648419899496,8.351513089264839E-4,0.26566374078771565,0.001322734177908107,0.002176458058978883,0.00850243476317851,0.004022644934089658,0.002136705537975731
14,44_The Need of Being Versed in Country Things.txt,0.017574780916085286,0.31882860123968365,0.2979492505708578,0.0013456719443854126,0.18886074490051027,0.14830963739384034,0.0035069076906125386,4.109593461907738E-4,0.01977059119399856,0.0034428548038352965
15,16_Fire and Ice.txt,0.014494560348153657,0.04458444675425942,0.4233982792744505,0.0045510130693974535,0.32412117910226285,0.0970934177043663,0.056802935876208605,0.0013898494081775838,0.021920710023336638,0.011643608439386952
16,06_The Axe-helve.txt,0.02717550025579772,0.0032392712169519782,0.00137418826024653,3.3065265393840643E-4,0.2815076565110708,5.236961993660144E-4,8.617020960094661E-4,1.0097914209011186E-4,0.02771504520132964,0.6571713084631993
17,18_Dust of Snow.txt,0.016753387962881117,0.3112652689304689,0.021861497258806935,0.005260241479864558,0.21879244141152512,0.060277865365687036,0.013708527830415006,0.0016064430921594543,0.33701618204100586,0.01345814462718593
18,20_Nothing Gold Can Stay.txt,0.012285911979083367,0.8758683473943875,0.016031887499278356,0.0038575399766021513,0.046165713711138374,0.006109671283707064,0.010052997439111984,0.0011780672944126946,0.018580481739139496,0.009869381683138985
19,03_The Census-taker.txt,0.0016350371657154312,0.01516867027373803,0.02241233722452336,0.015722453036041806,0.17851344373804487,0.2238796370730558,0.001337875809933687,1.5677988035059067E-4,0.49423307751801004,0.04694068828058649
20,38_Misgiving.txt,0.23466077064739543,0.4557881136727502,0.029447246139006653,0.0020986818091352365,0.23236781322305208,0.024049097369523712,0.005469299859681893,6.409235978673768E-4,0.010108649363952713,0.005369404317634762
21,40_Plowmen.txt,0.024339511098375923,0.3012726003255828,0.25816627254666896,0.007642138185002845,0.31786412800654656,0.012103815514093527,0.019915903935970286,0.002333858653375341,0.036809627341697584,0.019552144392686065
22,09_Wild Grapes.txt,0.001053098458234474,0.08487177683433714,0.00137418826024653,3.3065265393840643E-4,0.4055890650494962,5.236961993660144E-4,0.503717936699102,1.0097914209011186E-4,0.00159264340376639,8.459632994226173E-4
23,41_On a Tree Fallen Across the Road.txt,0.08958471361544461,0.041285093581462144,0.029447246139006653,0.0020986818091352365,0.3567187192504385,0.00332394636495931,0.1505453568916327,6.409235978673768E-4,0.11373440438677472,0.2126209143632788
